id,username,text,likes,retweets,replies,created_at
52,arjun.kumar,Fake deliveries by @ApolloPharmacy's courier partner. No communication at all! #DeliveryFailed #ApolloPharmacy,286,160,99,2024-11-30 12:28:00
53,deepika_choudhary,Love how @ApolloPharmacy has made healthcare accessible. So proud of their work! #Trust #ApolloPharmacy,966,199,79,2024-12-08 04:04:00
54,arjun_patel,"I started using @ApolloPharmacy online 2 years ago. Delivery was next day earlier, now it's just 7 mins! Amazing service! #ApolloPharmacy #FastDelivery",992,93,10,2024-12-23 02:51:00
55,arjun.verma,Ordered some medicines from @ApolloPharmacy. Standard service as usual. #ApolloPharmacy,437,62,76,2024-11-02 03:01:00
56,sandeep.joshi,Quick delivery and excellent customer support from @ApolloPharmacy. Highly recommend! #CustomerService,850,7,79,2024-11-24 15:44:00
57,amit.joshi,Love how @ApolloPharmacy has made healthcare accessible. So proud of their work! #Trust #ApolloPharmacy,710,196,69,2025-01-02 16:30:00
58,kavya_patel,Love how @ApolloPharmacy has made healthcare accessible. So proud of their work! #Trust #ApolloPharmacy,415,190,45,2024-11-06 04:34:00
59,anita_verma,Quick delivery and excellent customer support from @ApolloPharmacy. Highly recommend! #CustomerService,514,194,12,2024-11-04 03:09:00
60,sandeep_singh,@ApolloPharmacy saved my day with their fast response. Thank you! #ApolloPharmacy #Healthcare,854,168,8,2024-11-09 04:18:00
61,neha.patel,"Visited @ApolloPharmacy today. It was okay, nothing special. #NeutralExperience",662,114,80,2024-12-13 04:51:00
62,neha.reddy,Picked up my prescription from @ApolloPharmacy. Everything was fine. #NoIssues,327,18,53,2025-01-27 12:36:00
63,ajay670,"Doctor prescribed 3 days of medicine, but @ApolloPharmacy gave me 10 tablets. Not happy with the service! #ApolloPharmacy #PrescriptionError",399,162,85,2024-11-06 03:37:00
64,sneha149,Placed an order with @ApolloPharmacy but didn't receive one of my medicines. Immediate resolution needed! #ApolloPharmacy #Issue,420,191,74,2024-11-23 17:13:00
65,rohit_reddy,"I started using @ApolloPharmacy online 2 years ago. Delivery was next day earlier, now it's just 7 mins! Amazing service! #ApolloPharmacy #FastDelivery",270,54,46,2024-11-20 12:28:00
66,nisha_choudhary,The delivery guy didn't even call or enter my society. Terrible experience with @ApolloPharmacy. #BadService,910,127,95,2025-01-30 19:08:00
67,amit.sharma,"I started using @ApolloPharmacy online 2 years ago. Delivery was next day earlier, now it's just 7 mins! Amazing service! #ApolloPharmacy #FastDelivery",669,150,83,2024-11-17 03:26:00
68,neha.joshi,Used @ApolloPharmacy for the first time. Service was decent. #FirstImpression,761,28,70,2024-12-29 16:01:00
69,rahul_patel,"I started using @ApolloPharmacy online 2 years ago. Delivery was next day earlier, now it's just 7 mins! Amazing service! #ApolloPharmacy #FastDelivery",135,126,51,2024-11-27 07:16:00
70,rahul.mehta,Picked up my prescription from @ApolloPharmacy. Everything was fine. #NoIssues,388,77,7,2025-01-24 21:15:00
71,neha.singh,Love how @ApolloPharmacy has made healthcare accessible. So proud of their work! #Trust #ApolloPharmacy,448,156,22,2024-12-12 12:56:00
72,priya_gupta,"Doctor prescribed 3 days of medicine, but @ApolloPharmacy gave me 10 tablets. Not happy with the service! #ApolloPharmacy #PrescriptionError",460,123,54,2025-01-26 04:56:00
73,amit429,Ordered some medicines from @ApolloPharmacy. Standard service as usual. #ApolloPharmacy,480,83,22,2025-01-20 18:03:00
74,ankit_singh,Used @ApolloPharmacy for the first time. Service was decent. #FirstImpression,448,10,35,2024-12-21 23:51:00
75,priya.joshi,@ApolloPharmacy saved my day with their fast response. Thank you! #ApolloPharmacy #Healthcare,907,99,28,2025-01-27 18:39:00
76,priya_gupta,Just another day at @ApolloPharmacy. No complaints so far. #Neutral,122,35,30,2024-11-04 21:37:00
77,sandeep951,Quick delivery and excellent customer support from @ApolloPharmacy. Highly recommend! #CustomerService,317,151,8,2024-12-05 08:28:00
78,kavya_mehta,Love how @ApolloPharmacy has made healthcare accessible. So proud of their work! #Trust #ApolloPharmacy,659,96,9,2024-12-16 20:33:00
79,sandeep.choudhary,Fake deliveries by @ApolloPharmacy's courier partner. No communication at all! #DeliveryFailed #ApolloPharmacy,301,59,97,2024-11-07 10:39:00
80,shreya101,"I started using @ApolloPharmacy online 2 years ago. Delivery was next day earlier, now it's just 7 mins! Amazing service! #ApolloPharmacy #FastDelivery",390,140,24,2024-11-14 08:49:00
81,pooja458,"Change staff at @ApolloPharmacy MMDA, Chennai. They don't respect patients' prescriptions. #ApolloPharmacy #Complaint",873,51,1,2024-11-14 06:29:00
82,shreya119,Great experience at @ApolloPharmacy! The staff was very friendly and helpful. #PositiveExperience,950,31,82,2025-01-13 04:55:00
83,vikas856,Love how @ApolloPharmacy has made healthcare accessible. So proud of their work! #Trust #ApolloPharmacy,578,17,53,2024-11-05 06:42:00
84,deepika.choudhary,Just another day at @ApolloPharmacy. No complaints so far. #Neutral,662,38,75,2025-01-16 04:25:00
85,shruti273,Just another day at @ApolloPharmacy. No complaints so far. #Neutral,483,6,98,2025-01-15 20:55:00
86,pooja.sharma,"Doctor prescribed 3 days of medicine, but @ApolloPharmacy gave me 10 tablets. Not happy with the service! #ApolloPharmacy #PrescriptionError",53,109,5,2024-12-28 10:06:00
87,rahul_choudhary,@ApolloPharmacy saved my day with their fast response. Thank you! #ApolloPharmacy #Healthcare,811,105,6,2025-01-29 05:27:00
88,manoj_patel,Picked up my prescription from @ApolloPharmacy. Everything was fine. #NoIssues,24,151,12,2024-11-26 07:32:00
89,ajay.verma,Love how @ApolloPharmacy has made healthcare accessible. So proud of their work! #Trust #ApolloPharmacy,990,62,88,2024-11-27 20:25:00
90,vijay562,Great experience at @ApolloPharmacy! The staff was very friendly and helpful. #PositiveExperience,782,186,95,2025-01-26 13:39:00
91,rahul.reddy,Love how @ApolloPharmacy has made healthcare accessible. So proud of their work! #Trust #ApolloPharmacy,962,169,35,2024-11-23 08:07:00
92,sneha_joshi,Quick delivery and excellent customer support from @ApolloPharmacy. Highly recommend! #CustomerService,85,107,82,2024-11-07 21:53:00
93,amit_joshi,"Change staff at @ApolloPharmacy MMDA, Chennai. They don't respect patients' prescriptions. #ApolloPharmacy #Complaint",447,136,48,2024-12-04 23:08:00
94,sandeep_joshi,"Visited @ApolloPharmacy today. It was okay, nothing special. #NeutralExperience",628,23,49,2024-12-31 17:23:00
95,ajay.kumar,"Visited @ApolloPharmacy today. It was okay, nothing special. #NeutralExperience",551,126,66,2024-11-06 11:47:00
96,amit.mehta,"Doctor prescribed 3 days of medicine, but @ApolloPharmacy gave me 10 tablets. Not happy with the service! #ApolloPharmacy #PrescriptionError",110,62,82,2025-01-03 12:19:00
97,nisha_sharma,Fake deliveries by @ApolloPharmacy's courier partner. No communication at all! #DeliveryFailed #ApolloPharmacy,194,188,94,2024-12-08 18:25:00
98,amit679,Used @ApolloPharmacy for the first time. Service was decent. #FirstImpression,691,17,27,2024-12-28 04:42:00
99,shreya_mehta,"I started using @ApolloPharmacy online 2 years ago. Delivery was next day earlier, now it's just 7 mins! Amazing service! #ApolloPharmacy #FastDelivery",24,196,25,2025-01-15 09:17:00
100,anita285,Just another day at @ApolloPharmacy. No complaints so far. #Neutral,401,9,97,2024-11-08 05:37:00
101,shruti.verma,@ApolloPharmacy saved my day with their fast response. Thank you! #ApolloPharmacy #Healthcare,919,19,54,2025-01-29 17:51:00
102,sandeep.gupta,"I started using @ApolloPharmacy online 2 years ago. Delivery was next day earlier, now it's just 7 mins! Amazing service! #ApolloPharmacy #FastDelivery",353,199,83,2024-12-12 22:30:00
103,kavya_mehta,Ordered some medicines from @ApolloPharmacy. Standard service as usual. #ApolloPharmacy,250,200,63,2024-12-24 20:41:00
104,rahul_kumar,"Visited @ApolloPharmacy today. It was okay, nothing special. #NeutralExperience",720,128,32,2024-12-28 23:55:00
105,deepika799,"I started using @ApolloPharmacy online 2 years ago. Delivery was next day earlier, now it's just 7 mins! Amazing service! #ApolloPharmacy #FastDelivery",613,183,13,2024-12-13 16:36:00
106,rahul404,Ordered some medicines from @ApolloPharmacy. Standard service as usual. #ApolloPharmacy,986,28,38,2024-12-25 23:12:00
107,ankit617,Quick delivery and excellent customer support from @ApolloPharmacy. Highly recommend! #CustomerService,38,17,48,2024-11-18 00:28:00
108,shruti190,Used @ApolloPharmacy for the first time. Service was decent. #FirstImpression,394,198,22,2025-01-08 19:55:00
109,priya564,Ordered some medicines from @ApolloPharmacy. Standard service as usual. #ApolloPharmacy,500,175,19,2024-11-16 12:29:00
110,nisha_verma,Used @ApolloPharmacy for the first time. Service was decent. #FirstImpression,683,193,75,2024-11-09 07:49:00
111,vijay_verma,Fake deliveries by @ApolloPharmacy's courier partner. No communication at all! #DeliveryFailed #ApolloPharmacy,605,102,55,2025-01-24 09:17:00
112,pooja750,Quick delivery and excellent customer support from @ApolloPharmacy. Highly recommend! #CustomerService,333,91,48,2024-12-24 19:10:00
113,shreya_choudhary,Fake deliveries by @ApolloPharmacy's courier partner. No communication at all! #DeliveryFailed #ApolloPharmacy,55,114,54,2024-12-06 23:59:00
114,kavya_mehta,"I started using @ApolloPharmacy online 2 years ago. Delivery was next day earlier, now it's just 7 mins! Amazing service! #ApolloPharmacy #FastDelivery",686,1,32,2024-11-08 18:11:00
115,deepika_joshi,Great experience at @ApolloPharmacy! The staff was very friendly and helpful. #PositiveExperience,971,95,76,2024-12-14 18:36:00
116,rohit_sharma,Just another day at @ApolloPharmacy. No complaints so far. #Neutral,838,130,91,2024-12-24 13:28:00
117,shruti_patel,@ApolloPharmacy saved my day with their fast response. Thank you! #ApolloPharmacy #Healthcare,213,40,98,2024-12-23 08:09:00
118,kavya.choudhary,@ApolloPharmacy saved my day with their fast response. Thank you! #ApolloPharmacy #Healthcare,688,47,100,2025-01-28 02:34:00
119,ankit.patel,@ApolloPharmacy saved my day with their fast response. Thank you! #ApolloPharmacy #Healthcare,409,165,92,2024-11-27 01:49:00
120,shruti.kumar,Placed an order with @ApolloPharmacy but didn't receive one of my medicines. Immediate resolution needed! #ApolloPharmacy #Issue,281,191,86,2024-12-31 21:16:00
121,shreya_gupta,@ApolloPharmacy saved my day with their fast response. Thank you! #ApolloPharmacy #Healthcare,244,47,19,2024-12-08 13:42:00
122,vikas.sharma,Great experience at @ApolloPharmacy! The staff was very friendly and helpful. #PositiveExperience,602,130,56,2024-12-13 21:27:00
123,rahul.patel,Placed an order with @ApolloPharmacy but didn't receive one of my medicines. Immediate resolution needed! #ApolloPharmacy #Issue,168,101,37,2024-11-12 10:44:00
124,amit462,The delivery guy didn't even call or enter my society. Terrible experience with @ApolloPharmacy. #BadService,500,190,2,2024-11-12 16:20:00
125,anita.singh,Picked up my prescription from @ApolloPharmacy. Everything was fine. #NoIssues,947,117,61,2024-12-15 02:50:00
126,nisha173,Quick delivery and excellent customer support from @ApolloPharmacy. Highly recommend! #CustomerService,276,168,88,2024-12-20 06:22:00
127,sandeep_mehta,Just another day at @ApolloPharmacy. No complaints so far. #Neutral,238,128,28,2025-01-15 19:35:00
128,ajay.singh,Quick delivery and excellent customer support from @ApolloPharmacy. Highly recommend! #CustomerService,723,135,65,2025-01-25 18:46:00
129,anita889,"I started using @ApolloPharmacy online 2 years ago. Delivery was next day earlier, now it's just 7 mins! Amazing service! #ApolloPharmacy #FastDelivery",100,125,31,2024-12-17 23:43:00
130,ajay_verma,"Visited @ApolloPharmacy today. It was okay, nothing special. #NeutralExperience",786,30,100,2025-01-01 09:43:00
131,neha.mehta,"I started using @ApolloPharmacy online 2 years ago. Delivery was next day earlier, now it's just 7 mins! Amazing service! #ApolloPharmacy #FastDelivery",477,44,11,2025-01-30 10:08:00
132,ajay_patel,"I started using @ApolloPharmacy online 2 years ago. Delivery was next day earlier, now it's just 7 mins! Amazing service! #ApolloPharmacy #FastDelivery",890,129,70,2024-11-10 10:46:00
133,manoj_choudhary,"Change staff at @ApolloPharmacy MMDA, Chennai. They don't respect patients' prescriptions. #ApolloPharmacy #Complaint",338,93,72,2025-01-22 08:16:00
134,sandeep119,The delivery guy didn't even call or enter my society. Terrible experience with @ApolloPharmacy. #BadService,833,93,35,2024-12-23 05:27:00
135,shreya_choudhary,Love how @ApolloPharmacy has made healthcare accessible. So proud of their work! #Trust #ApolloPharmacy,205,60,51,2024-12-24 09:41:00
136,kavya881,Fake deliveries by @ApolloPharmacy's courier partner. No communication at all! #DeliveryFailed #ApolloPharmacy,781,98,72,2024-12-11 17:45:00
137,kavya.choudhary,Used @ApolloPharmacy for the first time. Service was decent. #FirstImpression,902,123,54,2024-12-01 02:46:00
138,pooja_reddy,@ApolloPharmacy saved my day with their fast response. Thank you! #ApolloPharmacy #Healthcare,520,95,17,2024-12-04 13:47:00
139,priya704,Great experience at @ApolloPharmacy! The staff was very friendly and helpful. #PositiveExperience,396,50,3,2025-01-07 12:06:00
140,deepika_kumar,Great experience at @ApolloPharmacy! The staff was very friendly and helpful. #PositiveExperience,340,198,11,2024-11-16 15:01:00
141,vijay.gupta,Ordered some medicines from @ApolloPharmacy. Standard service as usual. #ApolloPharmacy,645,123,77,2024-11-22 18:18:00
142,nisha581,Great experience at @ApolloPharmacy! The staff was very friendly and helpful. #PositiveExperience,392,46,93,2024-12-03 02:05:00
143,arjun154,Just another day at @ApolloPharmacy. No complaints so far. #Neutral,200,97,18,2024-12-25 15:01:00
144,nisha324,Great experience at @ApolloPharmacy! The staff was very friendly and helpful. #PositiveExperience,366,107,16,2024-11-09 17:46:00
145,amit.verma,"I started using @ApolloPharmacy online 2 years ago. Delivery was next day earlier, now it's just 7 mins! Amazing service! #ApolloPharmacy #FastDelivery",393,35,87,2024-12-22 16:39:00
146,shruti_verma,@ApolloPharmacy saved my day with their fast response. Thank you! #ApolloPharmacy #Healthcare,825,190,1,2024-11-15 01:58:00
147,sandeep_sharma,@ApolloPharmacy saved my day with their fast response. Thank you! #ApolloPharmacy #Healthcare,964,187,8,2024-12-19 00:20:00
148,rohit341,"I started using @ApolloPharmacy online 2 years ago. Delivery was next day earlier, now it's just 7 mins! Amazing service! #ApolloPharmacy #FastDelivery",928,172,70,2024-11-19 00:05:00
149,vikas_kumar,Just another day at @ApolloPharmacy. No complaints so far. #Neutral,913,161,92,2025-01-25 15:29:00
150,deepika863,"I started using @ApolloPharmacy online 2 years ago. Delivery was next day earlier, now it's just 7 mins! Amazing service! #ApolloPharmacy #FastDelivery",11,56,46,2024-11-22 02:29:00
151,ajay.mehta,"Doctor prescribed 3 days of medicine, but @ApolloPharmacy gave me 10 tablets. Not happy with the service! #ApolloPharmacy #PrescriptionError",999,66,74,2024-11-17 14:41:00
152,amit_gupta,"I started using @ApolloPharmacy online 2 years ago. Delivery was next day earlier, now it's just 7 mins! Amazing service! #ApolloPharmacy #FastDelivery",974,141,81,2024-12-08 06:14:00
153,shruti.patel,"Doctor prescribed 3 days of medicine, but @ApolloPharmacy gave me 10 tablets. Not happy with the service! #ApolloPharmacy #PrescriptionError",248,144,28,2025-01-16 01:05:00
154,priya_choudhary,Placed an order with @ApolloPharmacy but didn't receive one of my medicines. Immediate resolution needed! #ApolloPharmacy #Issue,749,62,78,2024-12-03 05:42:00
155,pooja.reddy,Love how @ApolloPharmacy has made healthcare accessible. So proud of their work! #Trust #ApolloPharmacy,978,94,33,2024-12-17 19:46:00
156,anita.joshi,Quick delivery and excellent customer support from @ApolloPharmacy. Highly recommend! #CustomerService,16,115,75,2024-12-17 23:59:00
157,ankit.kumar,Fake deliveries by @ApolloPharmacy's courier partner. No communication at all! #DeliveryFailed #ApolloPharmacy,976,23,89,2024-12-30 17:47:00
158,amit284,@ApolloPharmacy saved my day with their fast response. Thank you! #ApolloPharmacy #Healthcare,137,106,55,2024-12-25 02:37:00
159,rohit.sharma,Ordered some medicines from @ApolloPharmacy. Standard service as usual. #ApolloPharmacy,206,59,48,2024-11-03 20:54:00
160,rohit.gupta,Love how @ApolloPharmacy has made healthcare accessible. So proud of their work! #Trust #ApolloPharmacy,677,88,59,2024-11-15 15:04:00
161,shruti696,Great experience at @ApolloPharmacy! The staff was very friendly and helpful. #PositiveExperience,88,50,95,2024-11-06 20:04:00
162,rahul864,The delivery guy didn't even call or enter my society. Terrible experience with @ApolloPharmacy. #BadService,122,33,84,2025-01-03 20:38:00
163,rahul829,Fake deliveries by @ApolloPharmacy's courier partner. No communication at all! #DeliveryFailed #ApolloPharmacy,933,125,22,2024-11-14 07:25:00
164,deepika.choudhary,@ApolloPharmacy saved my day with their fast response. Thank you! #ApolloPharmacy #Healthcare,526,57,26,2025-01-24 05:53:00
165,sandeep_verma,Picked up my prescription from @ApolloPharmacy. Everything was fine. #NoIssues,596,85,54,2025-01-24 13:10:00
166,shruti_singh,Placed an order with @ApolloPharmacy but didn't receive one of my medicines. Immediate resolution needed! #ApolloPharmacy #Issue,337,152,40,2024-11-13 02:03:00
167,manoj.kumar,Great experience at @ApolloPharmacy! The staff was very friendly and helpful. #PositiveExperience,187,160,98,2024-12-17 00:08:00
168,anita_patel,"Visited @ApolloPharmacy today. It was okay, nothing special. #NeutralExperience",686,33,27,2024-11-19 08:53:00
169,vijay_singh,"Doctor prescribed 3 days of medicine, but @ApolloPharmacy gave me 10 tablets. Not happy with the service! #ApolloPharmacy #PrescriptionError",286,46,94,2024-12-02 16:08:00
170,nisha613,Quick delivery and excellent customer support from @ApolloPharmacy. Highly recommend! #CustomerService,171,91,57,2024-11-28 18:49:00
171,anita855,The delivery guy didn't even call or enter my society. Terrible experience with @ApolloPharmacy. #BadService,260,187,23,2024-12-16 05:18:00
172,neha.gupta,Quick delivery and excellent customer support from @ApolloPharmacy. Highly recommend! #CustomerService,874,24,47,2024-12-07 01:52:00
173,rahul_choudhary,Quick delivery and excellent customer support from @ApolloPharmacy. Highly recommend! #CustomerService,801,161,94,2024-12-30 23:52:00
174,rahul767,"Change staff at @ApolloPharmacy MMDA, Chennai. They don't respect patients' prescriptions. #ApolloPharmacy #Complaint",443,103,47,2024-12-18 10:57:00
175,manoj.patel,Quick delivery and excellent customer support from @ApolloPharmacy. Highly recommend! #CustomerService,726,65,78,2025-01-28 17:10:00
176,vijay_sharma,Love how @ApolloPharmacy has made healthcare accessible. So proud of their work! #Trust #ApolloPharmacy,192,74,1,2025-01-16 22:28:00
177,shruti_gupta,Picked up my prescription from @ApolloPharmacy. Everything was fine. #NoIssues,644,184,84,2025-01-20 11:44:00
178,deepika_gupta,"Change staff at @ApolloPharmacy MMDA, Chennai. They don't respect patients' prescriptions. #ApolloPharmacy #Complaint",810,101,36,2024-11-10 23:44:00
179,sandeep_singh,Just another day at @ApolloPharmacy. No complaints so far. #Neutral,230,85,9,2024-11-28 04:47:00
180,vikas156,Love how @ApolloPharmacy has made healthcare accessible. So proud of their work! #Trust #ApolloPharmacy,504,60,63,2024-12-08 15:12:00
181,neha.choudhary,Just another day at @ApolloPharmacy. No complaints so far. #Neutral,773,75,8,2024-12-06 23:12:00
182,kavya.joshi,Used @ApolloPharmacy for the first time. Service was decent. #FirstImpression,388,139,89,2024-11-18 15:33:00
183,shreya993,"I started using @ApolloPharmacy online 2 years ago. Delivery was next day earlier, now it's just 7 mins! Amazing service! #ApolloPharmacy #FastDelivery",959,110,5,2024-11-01 03:32:00
184,deepika_joshi,Placed an order with @ApolloPharmacy but didn't receive one of my medicines. Immediate resolution needed! #ApolloPharmacy #Issue,807,56,11,2024-12-29 11:21:00
185,rahul_sharma,@ApolloPharmacy saved my day with their fast response. Thank you! #ApolloPharmacy #Healthcare,794,7,98,2024-12-29 08:54:00
186,shruti.patel,Placed an order with @ApolloPharmacy but didn't receive one of my medicines. Immediate resolution needed! #ApolloPharmacy #Issue,830,124,92,2024-11-12 17:01:00
187,sneha_gupta,@ApolloPharmacy saved my day with their fast response. Thank you! #ApolloPharmacy #Healthcare,857,85,50,2024-11-26 02:10:00
188,sandeep.verma,Just another day at @ApolloPharmacy. No complaints so far. #Neutral,821,78,12,2024-12-07 01:37:00
189,manoj_gupta,Quick delivery and excellent customer support from @ApolloPharmacy. Highly recommend! #CustomerService,637,9,15,2025-01-01 09:50:00
190,ajay513,Ordered some medicines from @ApolloPharmacy. Standard service as usual. #ApolloPharmacy,490,157,81,2024-12-14 03:21:00
191,shruti.kumar,"Visited @ApolloPharmacy today. It was okay, nothing special. #NeutralExperience",846,33,70,2024-11-10 02:08:00
192,rohit_reddy,Used @ApolloPharmacy for the first time. Service was decent. #FirstImpression,926,93,31,2024-11-24 00:53:00
193,rohit428,"Visited @ApolloPharmacy today. It was okay, nothing special. #NeutralExperience",810,52,2,2025-01-09 19:10:00
